Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1860948E-008, 6.93E-005
3.1862430E-008, 5.90E-005
3.1863911E-008, 6.02E-005
3.1865393E-008, 6.62E-005
3.1866874E-008, 6.18E-005
3.1868356E-008, 7.01E-005
3.1869837E-008, 1.302E-004
3.1871319E-008, 1.529E-004
3.1872800E-008, 1.717E-004
3.1874281E-008, 3.002E-004
3.1875763E-008, 4.589E-004
3.1877244E-008, 5.403E-004
3.1878726E-008, 7.543E-004
3.1880207E-008, 9.933E-004
3.1881689E-008, 1.0626E-003
3.1883170E-008, 1.3641E-003
3.1884652E-008, 1.6111E-003
3.1886133E-008, 2.1331E-003
3.1887615E-008, 2.0193E-003
3.1889096E-008, 2.1000E-003
3.1890578E-008, 2.9941E-003
3.1892059E-008, 2.5189E-003
3.1893541E-008, 3.0616E-003
3.1895022E-008, 2.5028E-003
3.1896504E-008, 3.4304E-003
3.1897985E-008, 2.3989E-003
3.1899467E-008, 2.8079E-003
3.1900948E-008, 2.5119E-003
3.1902430E-008, 2.6265E-003
3.1903911E-008, 2.9902E-003
3.1905393E-008, 2.8411E-003
3.1906874E-008, 2.7613E-003
3.1908356E-008, 2.4664E-003
3.1909837E-008, 2.1981E-003
3.1911319E-008, 3.0197E-003
3.1912800E-008, 2.5804E-003
3.1914281E-008, 2.1773E-003
3.1915763E-008, 2.0001E-003
3.1917244E-008, 2.0089E-003
3.1918726E-008, 1.9576E-003
3.1920207E-008, 1.4867E-003
3.1921689E-008, 1.2141E-003
3.1923170E-008, 9.783E-004
3.1924652E-008, 1.0000E-003
3.1926133E-008, 5.431E-004
3.1927615E-008, 3.969E-004
3.1929096E-008, 2.386E-004
3.1930578E-008, 8.59E-005
3.1932059E-008, 5.81E-005
3.1933541E-008, 1.62E-005
3.1935022E-008, -2.57E-005
3.1936504E-008, -1.89E-005
3.1937985E-008, -6.38E-005
3.1939467E-008, -3.50E-005
3.1940948E-008, -2.80E-005
3.1942430E-008, -4.55E-005
3.1943911E-008, -3.92E-005
3.1945393E-008, -7.6E-006
3.1946874E-008, -2.68E-005
3.1948356E-008, 3.16E-005
3.1949837E-008, 1.90E-005
3.1951319E-008, 3.13E-005
3.1952800E-008, 2.46E-005
3.1954281E-008, 2.15E-005
3.1955763E-008, 2.09E-005
3.1957244E-008, 2.88E-005
3.1958726E-008, 4.34E-005
3.1960207E-008, 4.34E-005
3.1961689E-008, 3.52E-005
3.1963170E-008, 2.95E-005
3.1964652E-008, -3.3E-006
3.1966133E-008, 1.74E-005
3.1967615E-008, 6.17E-005
3.1969096E-008, 2.76E-005
3.1970578E-008, 4.54E-005
3.1972059E-008, 2.69E-005
3.1973541E-008, 4.54E-005
3.1975022E-008, 3.05E-005
3.1976504E-008, 1.24E-005
3.1977985E-008, 3.03E-005
3.1979467E-008, 8.8E-006
3.1980948E-008, 1.4E-006
3.1982430E-008, 5.13E-005
3.1983911E-008, 3.75E-005
3.1985393E-008, 2.88E-005
3.1986874E-008, 4.52E-005
3.1988356E-008, 4.36E-005
3.1989837E-008, 5.09E-005
3.1991319E-008, 3.60E-005
3.1992800E-008, 1.72E-005
3.1994281E-008, 5.98E-005
3.1995763E-008, 3.71E-005
3.1997244E-008, 4.31E-005
3.1998726E-008, 2.42E-005
3.2000207E-008, 1.68E-005
